位置,房屋信息,单价元/平,经度,纬度,WGS84经度,WGS84纬度,总价/万元
广东省深圳市意馨居,1室1厅|30.59平米|东南|精装|低楼层(共9层)|1999年|板塔结合,75000,114.10767436376592,22.57096952680857,114.09608405674608,22.56745910375792,243.16666666666666
广东省深圳市鹏盛年华,1室0厅|24.37平米|东|精装|低楼层(共25层)|2003年|板塔结合,71100,114.10708507535156,22.56308113955367,114.0955010517693,22.559581849425346,229.0
广东省深圳市翠馨居花园,1室0厅|30.61平米|南|精装|高楼层(共9层)|2002年|板塔结合,86247,114.10932796454811,22.570352379134743,114.09774454435568,22.566818450020826,270.375
广东省深圳市先科机电大厦,1室0厅|38.86平米|南|简装|中楼层(共13层)|1999年|塔楼,46321,114.1100201987739,22.57026327335893,114.09843942784352,22.56671995312056,204.16666666666666
广东省深圳市光纤小区,1室1厅|40.04平米|南|其他|高楼层(共8层)|1991年|塔楼,42458,114.1096684223363,22.568749801189018,114.09808798321052,22.565211674131387,171.0
广东省深圳市清凤创投大厦,3室1厅|61.63平米|南|精装|高楼层(共24层)|2018年|塔楼,34399,114.10734998564637,22.56930162810469,114.09576021730793,22.565796527828365,208.0
广东省深圳市长乐花园,3室1厅|112.69平米|东南|精装|低楼层(共29层)|1994年|塔楼,85190,114.09766355733548,22.55976673932705,114.08604576862254,22.5564286096017,1137.0
广东省深圳市长城花园,2室1厅|85.3平米|东南|精装|高楼层(共17层)|1987年|塔楼,81829,114.09597465314673,22.55946827831709,114.08435060437844,22.556161068729885,881.9642857142857
广东省深圳市核电花园,3室2厅|123.97平米|南北|精装|低楼层(共19层)|1990年|板楼,80665,114.0965169601829,22.556597612418905,114.08489788822573,22.553281244149357,1002.35
广东省深圳市百花公寓二期,2室1厅|83.68平米|南|精装|高楼层(共28层)|1999年|塔楼,117300,114.09847670348282,22.559824395544133,114.08686205833466,22.55647149159979,1112.2222222222222
广东省深圳市长安花园,3室1厅|98.3平米|西南|精装|中楼层(共30层)|1995年|塔楼,86470,114.09684735694935,22.55862988057297,114.08522754633022,22.555306941036932,939.4705882352941
广东省深圳市长怡花园,3室2厅|101.2平米|西南|精装|中楼层(共29层)|2000年|塔楼,100000,114.09495831029304,22.55677267103376,114.08333309093224,22.553484776659975,1072.8
广东省深圳市南天二花园,2室1厅|81.46平米|南|精装|高楼层(共18层)|1993年|板塔结合,120000,114.10026576873592,22.55706271045583,114.08866102759812,22.55367844064366,1053.0625
广东省深圳市百花园二期,4室2厅|156平米|东|精装|低楼层(共33层)|2003年|塔楼,120000,114.1016323609078,22.558532840373804,114.0900316089565,22.555124137145015,1707.6666666666667
广东省深圳市百花园一期,3室2厅|109.51平米|北|其他|高楼层(共29层)|2000年|塔楼,120000,114.10153453543778,22.560413472139267,114.08993145081337,22.557005960326485,1093.0555555555557
广东省深圳市国城花园,3室1厅|95.25平米|北|精装|中楼层(共31层)|1998年|塔楼,131000,114.10158106766318,22.556938634403423,114.08998170072545,22.55353124472895,1123.2068965517242
广东省深圳市南天一花园,3室1厅|107平米|南|简装|低楼层(共17层)|1990年|板楼,89533,114.09995226011304,22.56062974438077,114.08834263123283,22.557250094342983,933.8125
广东省深圳市百花公寓一期,3室2厅|113.59平米|东南南|精装|中楼层(共32层)|1995年|塔楼,117300,114.10153453543778,22.560413472139267,114.08993145081337,22.557005960326485,1120.0
广东省深圳市长泰花园,3室2厅|101平米|南|精装|中楼层(共30层)|1997年|塔楼,100000,114.0940515607116,22.55785664432576,114.08242186118686,22.554585035757583,1164.875
广东省深圳市长城二花园,3室1厅|80.45平米|东南南|精装|高楼层(共18层)|1989年|板楼,99441,114.09460913894144,22.55844873324936,114.08298093232833,22.555166783800043,881.4285714285714
广东省深圳市长城三花园,4室2厅|127.21平米|南|其他|低楼层(共19层)|1990年|板塔结合,100000,114.09640758404016,22.557429691320863,114.0847872719879,22.554115107167373,1273.0
广东省深圳市翠竹苑,2室1厅|38.27平米|东北|简装|中楼层(共20层)|1983年|板塔结合,57487,114.1381100324005,22.56545397800678,114.12658970342336,22.561875675523083,354.44444444444446
广东省深圳市鸿园居,2室1厅|67.65平米|南|其他|低楼层(共9层)|2000年|板塔结合,52700,114.14072760482516,22.58044990535447,114.12919199604062,22.576900095993217,309.258064516129
广东省深圳市宝龙苑,3室1厅|95.59平米|东南|精装|低楼层(共8层)|1994年|板楼,44984,114.32132815466343,22.695246464378336,114.30990120359368,22.69226154538676,440.4
广东省深圳市万事达名苑二期,1室1厅|47.51平米|北|精装|中楼层(共31层)|2000年|塔楼,48411,114.1419631342232,22.575088417441968,114.13043195600208,22.571557278183548,372.6923076923077
广东省深圳市旭飞华达园,1室1厅|38.79平米|西|简装|21层|2002年|塔楼,41248,114.13650035875771,22.58001767371545,114.12496515759968,22.576417738648924,176.5748031496063
广东省深圳市百仕达花园二期,3室2厅|82.17平米|东南|精装|高楼层(共18层)|1999年|塔楼,59900,114.13973946876452,22.57939939905233,114.12820493158657,22.5758368829853,704.6
广东省深圳市阳光绿地家园,3室1厅|51.07平米|东南|简装|低楼层(共27层)|2007年|板塔结合,54827,114.14319731616294,22.569812821078028,114.13167103193857,22.56630143866115,250.1290322580645
广东省深圳市东乐花园,2室2厅|74.16平米|南|精装|中楼层(共7层)|1988年|板塔结合,43000,114.14671211613069,22.577793423551185,114.13517556733376,22.57433663906721,363.44897959183675
广东省深圳市华达园公寓,1室0厅|29.25平米|西北|简装|33层|2005年|板塔结合,32137,114.13637809937784,22.57994075452687,114.12484293093436,22.576339600773128,126.46052631578948
广东省深圳市百仕达花园一期,2室2厅|76.43平米|南|简装|低楼层(共9层)|1997年|板楼,56261,114.14121763048072,22.576570199794048,114.12968528909848,22.573028130726843,769.9183673469388
广东省深圳市翠拥华庭二期,3室2厅|89.53平米|东南|精装|27层|2004年|板塔结合,61432,114.13719789298598,22.56845436345352,114.12567420254666,22.56486501532987,339.125
广东省深圳市泰宁花园,3室1厅|103平米|西北|简装|高楼层(共25层)|1995年|板塔结合,46500,114.14736572321952,22.571874343510704,114.13583445929356,22.568430534292503,648.6086956521739
广东省深圳市翠苑住宅小区,3室2厅|87.86平米|南|简装|高楼层(共7层)|1993年|板塔结合,46666,114.14372731641365,22.574435413594344,114.13219595742336,22.57093080550612,415.8333333333333
广东省深圳市新港鸿花园,4室2厅|149.34平米|南|精装|低楼层(共7层)|1997年|板塔结合,53700,114.13742202021064,22.57863996271155,114.12588816360449,22.5750501319254,549.6279069767442
广东省深圳市东湖丽苑,2室2厅|69.13平米|南|精装|中楼层(共7层)|1993年|板塔结合,46290,114.14370970962568,22.566818055650096,114.13218640346416,22.563315410297843,342.88235294117646
广东省深圳市29号大院西区,2室1厅|72.64平米|南|精装|中楼层(共8层)|1984年|板楼,64700,114.13976857386304,22.565674330577018,114.12824791700164,22.562116126856782,428.0
广东省深圳市金福大厦,3室1厅|97平米|西南|精装|中楼层(共21层)|1994年|塔楼,58454,114.05021407217804,22.61821210822853,114.03856386299756,22.61517388611711,478.6666666666667
广东省深圳市泰宁小区,3室1厅|83.55平米|南|简装|高楼层(共8层)|1993年|板楼,42849,114.1464407380362,22.57279100138637,114.1349092549876,22.56933100233651,275.5
广东省深圳市逸翠园一期,4室1厅|117.8平米|东南|简装|中楼层(共12层)|1999年|板塔结合,45000,114.13663303848148,22.56722896999645,114.12511057039508,22.56363403559889,558.5
广东省深圳市百仕达乐湖,3室1厅|141.96平米|东北|简装|低楼层(共32层)|2008年|塔楼,68500,114.14661599744112,22.574577995128283,114.13508257449712,22.571120465845897,861.5357142857143
广东省深圳市东安花园,4室1厅|125.5平米|南|精装|中楼层(共8层)|1989年|板塔结合,43825,114.14414889118932,22.577162958278976,114.1326146767417,22.57366416720666,436.3333333333333
广东省深圳市百仕达东郡,3室1厅|101.43平米|东南|精装|高楼层(共27层)|2005年|板楼,68500,114.1411807999548,22.57691968149856,114.12964814355398,22.573377006159077,631.5135135135135
广东省深圳市逸翠园二期,3室1厅|106.81平米|东南|精装|中楼层(共31层)|2003年|板塔结合,60763,114.13662225881538,22.56685501713337,114.12510019592436,22.56326008227195,638.3846153846154
广东省深圳市东门北路2075号,3室2厅|81.25平米|南|简装|中楼层(共5层)|1982年|暂无数据,49231,114.13982094507423,22.5656926863222,114.12830026023586,22.56213514823479,400.0
广东省深圳市新丰大厦,2室2厅|89.37平米|东北|其他|低楼层(共28层)|2003年|板塔结合,41900,114.14649427704458,22.570146634811536,114.13496553046326,22.56668832219737,433.45454545454544
广东省深圳市善水居,3室1厅|70.95平米|南|精装|低楼层(共20层)|2018年|暂无数据,75829,114.13848246986484,22.572609288865312,114.12695447148342,22.569033218985115,538.0
广东省深圳市粤海新村,2室1厅|76.64平米|南|其他|低楼层(共7层)|1991年|板楼,46712,114.14255008704322,22.579007375922327,114.13101504834331,22.575483699013706,414.0
广东省深圳市万事达名苑一期,2室1厅|54.39平米|西北|简装|中楼层(共17层)|1999年|塔楼,51100,114.14196744608962,22.57514164541885,114.13043621419678,22.571610552973347,481.5
广东省深圳市太安路88号,2室2厅|75.54平米|东南|简装|中楼层(共7层)|1987年|板楼,52600,114.14173433580989,22.57851607315616,114.13020005208156,22.57498071838108,393.0
广东省深圳市水贝供电局住宅小区,3室2厅|76.85平米|南|简装|高楼层(共7层)|2002年|板塔结合,49447,114.13758982367986,22.5744137218324,114.12605994942606,22.570826913076758,397.5
广东省深圳市金泰名苑,3室2厅|103平米|南|简装|高楼层(共15层)|2001年|板塔结合,51100,114.14764922843835,22.574826865874154,114.13611472735018,22.57138716217657,558.4
广东省深圳市传麒东湖名苑,3室1厅|94.88平米|东|精装|高楼层(共35层)|2019年|板塔结合,73567,114.14889401038312,22.57848303592236,114.13735500264823,22.575064501813134,730.0
广东省深圳市美思苑大厦,3室1厅|79.1平米|北|精装|高楼层(共25层)|1995年|板塔结合,49500,114.13918233968742,22.57279141854064,114.12765412487708,22.56922374792478,408.0
广东省深圳市翠苑大厦,3室1厅|81.63平米|东|精装|中楼层(共25层)|1997年|塔楼,46100,114.14424815394815,22.57486916467849,114.13271606866893,22.5713725819266,379.1111111111111
广东省深圳市环卫小区,3室2厅|85平米|南|精装|低楼层(共2层)|暂无数据,52353,114.13716833873472,22.57184097094054,114.1256410324594,22.568250306737,434.0
广东省深圳市翠拥华庭一期,3室1厅|98.71平米|北|其他|32层|2000年|板塔结合,61600,114.13700888950676,22.568679800608656,114.12548492293742,22.565088365750015,723.8461538461538
广东省深圳市水库市场综合楼,2室1厅|53.68平米|南|简装|高楼层(共6层)|1998年|板楼,49000,114.14704402038852,22.57313309891152,114.1355117157704,22.5696833390554,230.0
广东省深圳市叠翠居,1室1厅|34.59平米|南|精装|中楼层(共7层)|2001年|塔楼,54000,114.14883885442484,22.619906680135863,114.13730304926018,22.616482798598625,172.0
广东省深圳市文康楼,1室0厅|23.49平米|南|其他|中楼层(共10层)|1996年|板塔结合,38315,114.14812371340858,22.57215550708992,114.13659151802383,22.56872495540533,102.5
广东省深圳市太明居,3室2厅|88.97平米|南北|精装|8层|1994年|板楼,42700,114.13671397580792,22.576745983613783,114.1251817093986,22.57314912290966,380.0
广东省深圳市二十九号大院,3室2厅|85.25平米|东南|其他|中楼层(共6层)|1984年|暂无数据,40000,114.139928023091,22.56543712406588,114.1284076001024,22.561881039444863,341.0
广东省深圳市东湖医院住宅楼,3室2厅|77平米|南|简装|低楼层(共6层)|板塔结合,38182,114.14801843200286,22.58710030987786,114.13647403842572,22.58366402224296,294.0
广东省深圳市高标住宅小区,3室2厅|78.6平米|南|简装|高楼层(共8层)|板塔结合,67431,114.13749361515976,22.567854892372218,114.12597061652173,22.564268941337424,530.0
广东省深圳市康宁医院宿舍楼,3室2厅|83平米|南|简装|高楼层(共6层)|2002年|板塔结合,44800,114.11867680964848,22.62021660152492,114.10711956552792,22.616578804671995,372.0
广东省深圳市侨城馨苑,2室2厅|62.98平米|南西|精装|低楼层(共31层)|2010年|板塔结合,59543,113.97362436476152,22.55488656533525,113.9622080228059,22.551901686747676,439.2179310344828
广东省深圳市中海深圳湾畔花园,2室2厅|73.81平米|西北|精装|中楼层(共32层)|2003年|板塔结合,81968,113.97235579347702,22.5468001864554,113.96094393153427,22.543842609854423,845.2222222222222
广东省深圳市侨城豪苑,2室2厅|76.23平米|南|精装|26层|2002年|板塔结合,61656,113.97493023148094,22.547641203710235,113.96352150711488,22.544631238922904,584.8928571428571
广东省深圳市沙河观景阁,1室1厅|55.23平米|北|精装|高楼层(共15层)|2004年|塔楼,79848,113.97340904093085,22.54976698025144,113.96199666736496,22.546787612199875,374.3
广东省深圳市祥祺花园,3室2厅|93.35平米|南|其他|低楼层(共6层)|1997年|板楼,67000,113.97348943927396,22.54747623038312,113.96207876786012,22.54449566892512,617.1176470588235
广东省深圳市侨洲花园,2室2厅|75.87平米|南|精装|中楼层(共8层)|1993年|板楼,61949,113.9730269915976,22.54911802736928,113.9616145448592,22.54614651683779,397.42857142857144
广东省深圳市深圳湾花园,4室2厅|115.13平米|南|精装|中楼层(共7层)|1998年|板塔结合,69800,113.97216973864968,22.548611095973893,113.96075642867616,22.545656916951827,958.25
广东省深圳市联发大楼,2室1厅|81.54平米|西北|简装|中楼层(共8层)|1994年|板塔结合,64631,113.97250363880764,22.55322648036121,113.9610871834288,22.55026463203705,527.0
广东省深圳市侨城豪苑二期,2室2厅|77.87平米|南|简装|低楼层(共24层)|2003年|塔楼,67806,113.97375911058798,22.548419087392983,113.96234819788684,22.54543287758782,461.8888888888889
广东省深圳市中信花园,4室1厅|79.87平米|南|简装|7层|1995年|板塔结合,61350,113.97308124925036,22.54965833488957,113.96166848801728,22.54668562150525,489.0
广东省深圳市明珠花园,2室2厅|80平米|南|精装|中楼层(共8层)|1997年|板楼,61400,114.06455183658753,22.548456637984177,114.05288605746053,22.545517145275475,492.0
广东省深圳市万科第五园二期,8室1厅|187.07平米|南|精装|1层|2006年|板塔结合,50000,114.07701941875638,22.62129373132008,114.06532690034588,22.61827435859572,627.3947368421053
广东省深圳市万科四季花城三期,6室2厅|158.41平米|南|精装|低楼层(共3层)|2001年|板楼,54000,114.063199976626,22.63043001745848,114.05151981008493,22.62747755572961,536.2222222222222
广东省深圳市万科城一期,3室2厅|97.54平米|东北|精装|中楼层(共6层)|2005年|塔楼,55000,114.07671570166356,22.64952941725605,114.06504416588764,22.6465127957652,511.6551724137931
广东省深圳市珠江旭景佳园,3室2厅|105.18平米|南|精装|高楼层(共23层)|2008年|塔楼,45637,114.07726995616302,22.62814971467071,114.06558427724386,22.625127904432052,396.0
广东省深圳市佳兆业中央广场三期,3室2厅|88.72平米|北|精装|45层|2016年|塔楼,54103,114.0840886339648,22.66654231293873,114.07242821002345,22.663426507979786,569.2118644067797
广东省深圳市和成世纪名园,3室2厅|84.9平米|南|其他|高楼层(共31层)|2014年|板楼,55595,114.06847671302042,22.631453360008123,114.05679099059894,22.62849520155301,517.2777777777778
广东省深圳市万科四季花城七期,5室2厅|105.86平米|南北|其他|高楼层(共8层)|2003年|板楼,48900,114.06361463444928,22.62430447858304,114.05192790389744,22.62135227210614,538.3461538461538
广东省深圳市佳兆业悦峰,3室1厅|79.7平米|南|精装|高楼层(共17层)|2013年|板塔结合,59000,114.09458380672608,22.634079856681208,114.08295103767632,22.630788715725995,528.7692307692307
广东省深圳市信义嘉御山,3室1厅|83.36平米|南|精装|低楼层(共17层)|2015年|板塔结合,66579,114.0651727453558,22.641366732615705,114.05349827153395,22.63841498979176,701.3009708737864
广东省深圳市佳兆业中央广场一期,3室2厅|89.05平米|东南|精装|高楼层(共46层)|2013年|板楼,57000,114.0818553566372,22.66593376959276,114.07018998069968,22.662850698537515,615.5409836065573
广东省深圳市万科城四期,5室2厅|149.08平米|东南|精装|高楼层(共31层)|2008年|塔楼,50644,114.07817401082796,22.65211804234861,114.06650496776386,22.649085116783027,659.625
广东省深圳市中海日辉台,2室1厅|63.43平米|东|简装|中楼层(共6层)|2005年|塔楼,50450,114.07457369217572,22.64642617063853,114.06289899671332,22.643430335246897,435.3333333333333
广东省深圳市春华四季园二期,4室2厅|122.82平米|南|精装|中楼层(共11层)|2007年|板塔结合,58300,114.06194504382896,22.62852199800149,114.0502655593635,22.625567192183546,655.9519230769231
广东省深圳市万科第五园一期,4室2厅|141.46平米|南北|其他|低楼层(共3层)|2006年|塔楼,56900,114.07783112761491,22.621654023702,114.06614002823709,22.61862580310989,619.6428571428571
广东省深圳市万科第五园四期,2室1厅|69.54平米|东南|精装|高楼层(共18层)|2010年|塔楼,59000,114.07273845401944,22.61853988168428,114.06104001711496,22.615558614889856,428.6111111111111
广东省深圳市万科城二期,3室2厅|103.82平米|北|精装|中楼层(共6层)|2006年|塔楼,52014,114.07509228394646,22.650557785648942,114.06341934079832,22.64755685457052,732.4375
广东省深圳市大族云峰,3室1厅|105.01平米|南|精装|高楼层(共29层)|2019年|塔楼,56000,114.07604520643112,22.626485435588943,114.06435649347353,22.623476227405323,641.0869565217391
广东省深圳市璞悦山,4室2厅|175.69平米|西南|精装|高楼层(共33层)|2013年|板楼,59000,114.08098355114004,22.619119947020952,114.06929557446936,22.616052784652236,1129.6571428571428
广东省深圳市佳兆业上品雅园,3室2厅|87.61平米|南|精装|中楼层(共32层)|2010年|塔楼,59000,114.08939142121902,22.638800918272644,114.07774399067073,22.635602861512385,506.16326530612247
广东省深圳市阳光第五季,2室1厅|74.91平米|南|简装|中楼层(共17层)|2008年|板塔结合,52063,114.06632149844158,22.62404218760225,114.0546306429567,22.621089150168405,450.4583333333333
广东省深圳市中海月朗苑,3室2厅|69平米|南|其他|中楼层(共18层)|2006年|板楼,56087,114.07323090509983,22.6215499393342,114.0615353924558,22.61856513908544,535.1904761904761
广东省深圳市万科四季花城一期,3室1厅|99.55平米|南|其他|中楼层(共4层)|2000年|板塔结合,50227,114.0649543672864,22.630812969138248,114.0532716890835,22.627861381577382,480.93333333333334
广东省深圳市儒骏城立方,3室1厅|88.56平米|南北|简装|高楼层(共21层)|2017年|板楼,50814,114.07959998099405,22.63279501037459,114.06792219834146,22.62974617276074,515.9333333333333
广东省深圳市信义嘉御山5期,4室2厅|88.72平米|西北|精装|中楼层(共39层)|2016年|塔楼,73828,114.0661059949498,22.64456615654827,114.05443217749458,22.641613378953693,682.0681818181819
广东省深圳市万科第五园五期,3室2厅|111.36平米|南|其他|中楼层(共19层)|2010年|板塔结合,45800,114.07764131566071,22.618099263901737,114.065946733668,22.615073043429877,333.94736842105266
广东省深圳市万科四季花城六期,3室1厅|104.56平米|南|其他|低楼层(共6层)|2002年|板楼,47342,114.06364598531157,22.627493963124323,114.05196225109624,22.6245418961696,548.4193548387096
广东省深圳市万科第五园八期,3室1厅|88.84平米|西南|其他|18层|2009年|板楼,58533,114.07606362169408,22.61772578437538,114.06436679492256,22.61471609274956,593.25
广东省深圳市万科四季花城二期,3室2厅|98.03平米|南|精装|6层|2000年|板楼,48863,114.06498302323216,22.632119016389765,114.05330150004689,22.62916744669421,516.1891891891892
广东省深圳市万科紫悦山,3室2厅|88.35平米|东南|精装|中楼层(共33层)|2016年|板楼,59000,114.0801311490419,22.623038555054578,114.06844513317336,22.619982702256323,616.1818181818181
广东省深圳市万科金色半山,4室2厅|143.86平米|南|精装|16层|2011年|板楼,53386,114.09472016950244,22.63640384066649,114.08308987560996,22.633110212215136,629.6666666666666
广东省深圳市嘉霖华禧,1室1厅|39.08平米|东南|精装|中楼层(共7层)|2017年|塔楼,34801,114.08408099836798,22.65455920107223,114.07242421861028,22.651446565695075,410.8611111111111
广东省深圳市天安云谷产业园二期,2室1厅|44.41平米|北|精装|高楼层(共31层)|2019年|塔楼,26796,114.0733270237894,22.66484098597033,114.0616506669304,22.661851693959026,119.0
广东省深圳市星河银湖谷,4室2厅|87.03平米|东南|精装|中楼层(共49层)|2016年|板塔结合,70700,114.0705768614715,22.60971816323474,114.05887152901856,22.606750295303737,741.6333333333333
广东省深圳市万科城三期,4室2厅|119.66平米|南|简装|中楼层(共18层)|2007年|塔楼,54321,114.07478102108736,22.65032598026956,114.06310777084364,22.64732787737428,633.6933333333334
广东省深圳市万科第五园三期,5室2厅|168.03平米|南|精装|低楼层(共3层)|2007年|塔楼,57600,114.07646785917343,22.623473819240907,114.06477672985618,22.620460263230736,705.4230769230769
广东省深圳市润创兴时代公寓,3室1厅|69.19平米|北|精装|高楼层(共29层)|2014年|板楼,35410,114.06422763812908,22.634346548121744,114.0525492289622,22.63139498831164,209.5
广东省深圳市春华四季园一期,4室2厅|100.39平米|西南|简装|中楼层(共17层)|2006年|板塔结合,53791,114.06059399234242,22.626084040715185,114.04891523687276,22.62312515195524,654.4193548387096
广东省深圳市佳兆业城市广场五期,4室2厅|91.02平米|北|精装|中楼层(共43层)|2019年|板楼,63173,114.08257202477282,22.66324602466621,114.0709096412793,22.660153629206658,504.6585365853659
广东省深圳市龙岸花园一期,7室2厅|149.03平米|南北|其他|低楼层(共32层)|2010年|板塔结合,56000,114.06398276004714,22.62116187407772,114.0522924454622,22.61820982778293,731.9047619047619
广东省深圳市佳华领汇广场king公馆,3室2厅|52.87平米|南北|其他|高楼层(共22层)|2017年|塔楼,48799,114.06471685530964,22.638649064307025,114.05304115268518,22.635697541138214,184.54545454545453
广东省深圳市绿怡居,3室2厅|100.7平米|南|精装|中楼层(共23层)|2003年|板塔结合,41000,114.0770721492898,22.63237812279654,114.06539015332598,22.629358540543087,285.92857142857144
广东省深圳市万科第五园六期,4室2厅|153.28平米|南北|精装|低楼层(共20层)|2011年|板塔结合,48500,114.07903081462312,22.617770738754107,114.06733805605629,22.61472841590145,695.2
广东省深圳市十二橡树庄园二期,5室2厅|134.72平米|南|其他|中楼层(共5层)|2012年|塔楼,68700,114.0736851781961,22.629587553322057,114.06199752937022,22.626599499741644,1353.2666666666667
广东省深圳市依云山庄,8室3厅|218.16平米|南|其他|高楼层(共4层)|板塔结合,43000,114.0900863503613,22.660355370057616,114.078446730651,22.657142342895728,847.8
广东省深圳市佳华领汇广场,3室2厅|77.05平米|西北|精装|中楼层(共32层)|2016年|板塔结合,59000,114.06471685530964,22.638649064307025,114.05304115268518,22.635697541138214,520.3571428571429
广东省深圳市阳明公寓,3室2厅|92.11平米|南|其他|中楼层(共8层)|1998年|板塔结合,32800,114.0681922196655,22.639945779964727,114.05651365662904,22.636988537883408,201.63636363636363
广东省深圳市诺德中央道,3室2厅|87.15平米|南|其他|低楼层(共33层)|2014年|塔楼,52900,114.08275096723035,22.62646408571485,114.07107374104858,22.62337256975425,510.6521739130435
广东省深圳市台湾花园,3室2厅|97.07平米|南|精装|低楼层(共7层)|1993年|板塔结合,36263,114.06874779351526,22.64115419548584,114.0570696955218,22.63819499587059,461.4516129032258
广东省深圳市泓瀚苑,3室2厅|59.26平米|南|精装|中楼层(共8层)|2002年|塔楼,36600,114.06916921673782,22.63695480950892,114.05748785338656,22.63399408589334,275.25
广东省深圳市龙岸花园二期,5室2厅|164.32平米|东南|其他|中楼层(共32层)|2010年|平房,56000,114.0637382412874,22.619544798480888,114.05204686208658,22.616592530755668,865.6666666666666
广东省深圳市太阳雨家园,4室2厅|88.93平米|南北|其他|低楼层(共25层)|2016年|板塔结合,57600,114.08078484596132,22.62060358525986,114.06909781553875,22.61753911847424,501.45
广东省深圳市德润荣君府,1室1厅|29.97平米|北|精装|中楼层(共31层)|2017年|板楼,43377,114.0749612211726,22.631816210690165,114.06327651024996,22.628817382476694,453.57894736842104
广东省深圳市华创云轩,2室2厅|34.15平米|东南|精装|21层|2018年|板楼,47438,114.07233331823458,22.65736151410104,114.06065912911104,22.654381376338367,145.984
广东省深圳市佳兆业悦峰2期,3室2厅|89.79平米|东北|其他|低楼层(共34层)|2015年|暂无数据,59000,114.09559700551046,22.63452901213274,114.08396848505468,22.631219340209704,644.2857142857143
广东省深圳市万科四季花城五期,4室2厅|118.62平米|南北|其他|中楼层(共8层)|2002年|板塔结合,53786,114.06089196027996,22.6295480235956,114.04921579287856,22.62659026265229,484.875
广东省深圳市金洲嘉丽园,3室2厅|90.04平米|南北|精装|6层|2004年|板楼,45536,114.07760592242364,22.63817123605877,114.06592947655848,22.635145864444706,350.28
广东省深圳市富豪花园,3室2厅|96.53平米|南北|其他|中楼层(共7层)|1994年|平房,40000,113.9453454378251,22.684075842443946,113.93389932175955,22.681419603622636,341.22222222222223
广东省深圳市家和花园北区,3室1厅|79.34平米|南|精装|低楼层(共6层)|2004年|板楼,47896,114.06812044505529,22.618873325727343,114.05642315535488,22.61591593027119,356.42857142857144
广东省深圳市高发悦驰苑,2室1厅|61平米|南北|精装|低楼层(共6层)|2015年|塔楼,43400,114.08657155039356,22.659060683667786,114.07492113364503,22.655907762076247,287.25
广东省深圳市中浩吉祥花园,3室2厅|90.76平米|南|其他|中楼层(共7层)|1998年|板塔结合,34300,114.08664305551214,22.65929297439449,114.07499279422764,22.656138826211038,281.25
广东省深圳市正展逸园,4室2厅|159.15平米|西南|毛坯|高楼层(共22层)|2017年|暂无数据,56488,114.08184574476824,22.651100859075747,114.07018330195764,22.64802135353946,895.3333333333334
广东省深圳市碧桂园荣汇花园,3室2厅|54.38平米|南|精装|高楼层(共4层)|2018年|板塔结合,52409,114.07871721616968,22.62996108365056,114.06703534913892,22.626922924752023,285.0
广东省深圳市家和花园南区,2室1厅|47.29平米|南|精装|高楼层(共7层)|2004年|板塔结合,50900,114.06799692804768,22.617287582658307,114.0562983471826,22.61433052298969,320.75
广东省深圳市万科·万致天地,1室1厅|35.39平米|北|精装|高楼层(共26层)|2022年|塔楼,44081,114.07444397686012,22.635537980317327,114.062762126225,22.632543738177223,147.0
广东省深圳市万科四季花城四期,2室2厅|74.68平米|东|其他|高楼层(共6层)|2002年|板塔结合,52600,114.062162092514,22.630072613619745,114.05048361554306,22.62711834652493,512.3333333333334
